iter	Passed	Remaining
0	38	19049
1	70	17495
2	96	16066
3	121	15100
4	141	14006
5	161	13332
6	180	12710
7	199	12256
8	217	11872
9	236	11609
10	256	11382
11	274	11168
12	294	11019
13	312	10836
14	331	10714
15	350	10608
16	369	10504
17	388	10395
18	407	10313
19	426	10232
20	445	10161
21	464	10103
22	484	10058
23	504	10001
24	522	9931
25	542	9886
26	561	9829
27	579	9775
28	598	9725
29	617	9676
30	636	9628
31	654	9579
32	674	9546
33	693	9504
34	712	9464
35	731	9429
36	750	9392
37	769	9352
38	787	9313
39	806	9276
40	825	9240
41	844	9213
42	864	9182
43	882	9142
44	901	9114
45	919	9079
46	939	9055
47	957	9017
48	976	8985
49	995	8957
50	1014	8934
51	1033	8906
52	1053	8882
53	1071	8853
54	1090	8823
55	1109	8794
56	1128	8768
57	1146	8740
58	1165	8708
59	1183	8682
60	1202	8654
61	1220	8625
62	1240	8606
63	1261	8592
64	1280	8566
65	1299	8542
66	1317	8513
67	1335	8486
68	1355	8465
69	1374	8442
70	1393	8419
71	1412	8394
72	1430	8368
73	1449	8345
74	1468	8322
75	1487	8296
76	1505	8271
77	1524	8248
78	1544	8232
79	1564	8212
80	1583	8189
81	1602	8167
82	1620	8143
83	1640	8126
84	1659	8101
85	1677	8077
86	1696	8053
87	1714	8027
88	1733	8006
89	1752	7985
90	1771	7964
91	1791	7945
92	1812	7929
93	1830	7905
94	1849	7884
95	1868	7861
96	1888	7844
97	1907	7823
98	1926	7801
99	1945	7781
100	1964	7761
101	1983	7738
102	2002	7717
103	2021	7695
104	2040	7674
105	2058	7652
106	2076	7628
107	2095	7606
108	2114	7583
109	2133	7562
110	2151	7540
111	2170	7518
112	2189	7497
113	2207	7475
114	2226	7453
115	2246	7436
116	2265	7415
117	2283	7393
118	2303	7374
119	2322	7354
120	2341	7334
121	2360	7312
122	2378	7290
123	2398	7271
124	2417	7252
125	2436	7231
126	2455	7211
127	2475	7193
128	2493	7172
129	2512	7151
130	2531	7130
131	2551	7113
132	2570	7091
133	2588	7070
134	2607	7050
135	2626	7029
136	2645	7009
137	2665	6991
138	2684	6972
139	2703	6951
140	2722	6931
141	2741	6912
142	2760	6891
143	2779	6870
144	2798	6851
145	2818	6833
146	2836	6811
147	2855	6790
148	2873	6768
149	2892	6750
150	2911	6728
151	2929	6707
152	2948	6687
153	2967	6666
154	2986	6648
155	3006	6629
156	3025	6609
157	3047	6595
158	3066	6576
159	3085	6555
160	3104	6536
161	3123	6517
162	3143	6499
163	3162	6478
164	3181	6458
165	3199	6438
166	3219	6418
167	3238	6399
168	3258	6381
169	3277	6361
170	3297	6343
