iter	Logloss
0	0.6291947803
1	0.574787883
2	0.5384455147
3	0.5046294758
4	0.4765000199
5	0.4569051608
6	0.4377235822
7	0.421678782
8	0.4085669521
9	0.3990120068
10	0.3889017491
11	0.3770907124
12	0.3678810395
13	0.3586311971
14	0.3516624107
15	0.3441713374
16	0.3374777597
17	0.3321195549
18	0.3262225828
19	0.3216281294
20	0.3157397616
21	0.3114320379
22	0.3070312386
23	0.3028050781
24	0.2985767696
25	0.2947684279
26	0.2922648871
27	0.2899351236
28	0.2869963437
29	0.2829555359
30	0.2803466021
31	0.2776676457
32	0.2749067076
33	0.2728366226
34	0.2707963768
35	0.2687369631
36	0.2665131704
37	0.2637081099
38	0.2612914755
39	0.2591893782
40	0.2571152495
41	0.2545756461
42	0.253323095
43	0.2517325169
44	0.248968762
45	0.246922185
46	0.245305118
47	0.2431558436
48	0.2414460088
49	0.2394704374
50	0.2376028362
51	0.2358621708
52	0.2335978442
53	0.232482334
54	0.231346255
55	0.2296458925
56	0.2280132641
57	0.2267844677
58	0.2248542289
59	0.2237184946
60	0.2223196468
61	0.2206814035
62	0.2193411069
63	0.2181729597
64	0.2171973376
65	0.2156409949
66	0.2147185694
67	0.2135910122
68	0.2123690673
69	0.2109040736
70	0.209758248
71	0.2084463981
72	0.2074804597
73	0.2063653313
74	0.2053164316
75	0.2041437716
76	0.2030478432
77	0.2015885336
78	0.2003746918
79	0.1993711966
80	0.1979435552
81	0.1968543096
82	0.1955650186
83	0.1947975033
84	0.193938335
85	0.192886562
86	0.1918690931
87	0.1911473572
88	0.1896647006
89	0.1884997807
90	0.187486593
91	0.1861672555
92	0.185813218
93	0.1850374098
94	0.1845200398
95	0.1833990383
96	0.1821203813
97	0.1807945303
98	0.1800548037
99	0.1791888839
