iter	Passed	Remaining
0	36	7193
1	69	6837
2	103	6787
3	137	6751
4	173	6751
5	207	6722
6	243	6712
7	278	6683
8	314	6681
9	350	6658
10	386	6644
11	422	6622
12	459	6605
13	495	6586
14	531	6555
15	566	6519
16	605	6515
17	640	6476
18	677	6451
19	713	6418
20	748	6377
21	784	6347
22	822	6333
23	860	6313
24	905	6337
25	951	6366
26	995	6376
27	1040	6394
28	1087	6411
29	1145	6492
30	1190	6489
31	1232	6469
32	1271	6434
33	1309	6391
34	1348	6356
35	1386	6315
36	1433	6315
37	1483	6323
38	1534	6334
39	1573	6294
40	1615	6265
41	1654	6225
42	1692	6178
43	1728	6127
44	1765	6082
45	1802	6034
46	1838	5985
47	1876	5941
48	1912	5894
49	1949	5849
50	1985	5801
51	2024	5761
52	2063	5724
53	2103	5686
54	2139	5641
55	2176	5596
56	2213	5554
57	2253	5517
58	2292	5478
59	2332	5443
60	2371	5404
61	2407	5359
62	2445	5317
63	2481	5273
64	2521	5236
65	2559	5196
66	2596	5153
67	2632	5110
68	2670	5069
69	2709	5031
70	2746	4990
71	2786	4953
72	2828	4920
73	2868	4884
74	2908	4846
75	2947	4809
76	2991	4779
77	3042	4759
78	3090	4733
79	3145	4718
80	3201	4703
81	3240	4662
82	3278	4621
83	3318	4582
84	3372	4562
85	3409	4519
86	3444	4474
87	3480	4430
88	3516	4385
89	3555	4345
90	3592	4303
91	3629	4260
92	3664	4215
93	3700	4172
94	3736	4129
95	3774	4089
96	3813	4049
97	3852	4009
98	3893	3972
99	3929	3929
100	3966	3887
101	4001	3844
102	4038	3803
103	4075	3761
104	4112	3720
105	4149	3679
106	4188	3640
107	4227	3601
108	4264	3560
109	4303	3521
110	4341	3481
111	4378	3440
112	4414	3398
113	4451	3357
114	4510	3333
115	4569	3309
116	4669	3312
117	4720	3280
118	4770	3247
119	4812	3208
120	4855	3169
121	4902	3134
122	4942	3094
123	4981	3053
124	5028	3017
125	5072	2978
126	5116	2941
127	5156	2900
128	5196	2860
129	5235	2819
130	5270	2776
131	5307	2734
132	5344	2692
133	5380	2650
134	5418	2608
135	5459	2569
136	5502	2530
137	5545	2491
138	5587	2452
139	5628	2412
140	5668	2371
141	5710	2332
142	5749	2291
143	5789	2251
144	5827	2210
145	5865	2169
146	5906	2129
147	5944	2088
148	5982	2047
149	6020	2006
150	6057	1965
151	6096	1925
152	6133	1884
153	6172	1843
154	6210	1802
155	6253	1763
156	6301	1725
157	6341	1685
158	6380	1645
159	6417	1604
160	6453	1563
161	6488	1522
162	6524	1481
163	6559	1439
164	6594	1398
165	6628	1357
166	6664	1316
167	6698	1275
168	6733	1235
169	6768	1194
170	6804	1154
171	6840	1113
172	6876	1073
173	6917	1033
174	6957	993
175	6998	954
176	7036	914
177	7072	874
178	7109	834
179	7144	793
180	7180	753
181	7216	713
182	7249	673
183	7285	633
184	7320	593
185	7355	553
186	7389	513
187	7425	473
188	7461	434
189	7497	394
190	7532	354
191	7569	315
192	7610	276
193	7651	236
194	7695	197
195	7745	158
196	7789	118
197	7829	79
198	7871	39
199	7913	0
